2018-12-02 03-PM,BTCUSD,4116.11,4139.41,4073.7,4116.61,435.09,1787577.73
2018-12-02 02-PM,BTCUSD,4084.99,4137.68,4071.91,4116.11,313.0,1287783.9
2018-12-02 01-PM,BTCUSD,4099.67,4115.92,4061.35,4084.99,240.2,982063.75
2018-12-02 12-PM,BTCUSD,4072.77,4117.87,4060,4099.67,279.46,1142848.31
2018-12-02 11-AM,BTCUSD,4066.3,4086.35,4030,4072.77,271.93,1104641.08
2018-12-02 10-AM,BTCUSD,4153.85,4153.85,4031.21,4066.3,513.75,2099206.72
2018-12-02 09-AM,BTCUSD,4118.11,4184.52,4118.01,4153.85,337.64,1404365.72
2018-12-02 08-AM,BTCUSD,4113.88,4135.37,4092.54,4118.11,129.5,532569.31
2018-12-02 07-AM,BTCUSD,4089.99,4138.15,4072.95,4113.88,119.06,489710.43
2018-12-02 06-AM,BTCUSD,4072.84,4103.45,4049.6,4089.99,146.47,598163.67
2018-12-02 05-AM,BTCUSD,4127.09,4127.09,4043.46,4072.84,501.47,2045910.68
2018-12-02 04-AM,BTCUSD,4138.5,4157.46,4120.56,4127.09,176.04,729563.23
2018-12-02 03-AM,BTCUSD,4217.03,4218.98,4110,4138.5,565.01,2347345.06
2018-12-02 02-AM,BTCUSD,4229.85,4265,4205.12,4217.03,431.84,1826550.3
2018-12-02 01-AM,BTCUSD,4162.16,4242.82,4151.83,4229.85,251.74,1062534.17
2018-12-02 12-AM,BTCUSD,4140.39,4180.05,4139.79,4162.16,125.46,522944.84
2018-12-01 11-PM,BTCUSD,4174.28,4181.6,4134.13,4140.39,151.0,626881.25
2018-12-01 10-PM,BTCUSD,4174.9,4196.2,4153,4174.28,70.74,295213.85
2018-12-01 09-PM,BTCUSD,4147.45,4179.89,4128.81,4174.9,275.73,1145325.11
2018-12-01 08-PM,BTCUSD,4231.16,4234.16,4122.3,4147.45,400.23,1667464.15
2018-12-01 07-PM,BTCUSD,4202.88,4236.77,4196.68,4231.16,114.84,483924.44
2018-12-01 06-PM,BTCUSD,4217.81,4238.73,4195.2,4202.88,115.08,485815.95
2018-12-01 05-PM,BTCUSD,4233,4248.26,4195.08,4217.81,163.89,691817.26
2018-12-01 04-PM,BTCUSD,4169.58,4264.47,4169.58,4233,495.46,2096958.14
2018-12-01 03-PM,BTCUSD,4150.07,4182.08,4132.52,4169.58,183.16,761098.39
2018-12-01 02-PM,BTCUSD,4131.66,4157.64,4119.52,4150.07,149.58,618922.15
2018-12-01 01-PM,BTCUSD,4132.94,4165.52,4122.42,4131.66,188.31,781260.53
2018-12-01 12-PM,BTCUSD,4131.65,4182.78,4126.76,4132.94,356.41,1480684.15
2018-12-01 11-AM,BTCUSD,4115.43,4146.26,4105,4131.65,634.96,2615163.58
2018-12-01 10-AM,BTCUSD,3969.3,4146.26,3958.41,4115.43,1765.68,7197622.7
2018-12-01 09-AM,BTCUSD,3951.86,3976.22,3944.84,3969.3,107.55,426572.29
2018-12-01 08-AM,BTCUSD,3940,3984.89,3940,3951.86,221.7,880288.39
2018-12-01 07-AM,BTCUSD,3923.77,3943.79,3913.48,3940,74.24,291792.61
2018-12-01 06-AM,BTCUSD,3942.98,3950.62,3904.34,3923.77,149.14,585112.98
2018-12-01 05-AM,BTCUSD,3947.47,3957.96,3910.02,3942.98,139.57,548396.78
2018-12-01 04-AM,BTCUSD,3969.8,3969.8,3920.84,3947.47,129.6,510379.9
2018-12-01 03-AM,BTCUSD,3950.83,3973.5,3934.69,3969.8,166.96,660277.07
2018-12-01 02-AM,BTCUSD,3968.71,3973,3943.32,3950.83,107.0,423540.23
2018-12-01 01-AM,BTCUSD,3975.85,3990,3965.6,3968.71,174.2,693542.05
2018-12-01 12-AM,BTCUSD,3971.06,3980.33,3946.98,3975.85,77.18,305679.34
2018-11-30 11-PM,BTCUSD,3944.95,3992.43,3937.09,3971.06,231.26,918138.43
